Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
CLASS: AppRoutingModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1
CLASS: AppModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1
CLASS: MainNavigationComponent;0;1,3;52,083;0,023;3,11;360,346;17,8;20,019;11,1;68,301;6,3;8,3;;4,8;9,5;;5,5;4,1;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0
CLASS: SmallMainMenuComponent;0;1,2;43,333;0,011;1,586;78,542;10,6;4,363;6,8;33,33;3,8;4,0;;3,0;6,6;;3,6;1,8;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1
CLASS: DragAndDropDirective;0;1,375;33,439;0,028;2,592;380,382;20,125;21,132;12,5;83,215;8,125;9,625;;4,375;10,5;;6,0;4,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0
CLASS: RemoveDirective;0;1,0;75,0;0,006;1,25;23,81;7,0;1,323;6,0;18,195;3,5;3,5;;2,5;3,5;;4,0;1,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1
CLASS: AppEffects;0;1,0;17,778;0,007;1,167;36,545;6,333;2,03;5,333;19,565;3,0;3,0;;2,333;3,333;;1,0;2,667;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0
CLASS: DecoratorTypesService;0;1,0;21,429;0,002;0,857;13,235;3,0;0,735;1,929;6,617;1,071;2,143;;0,857;0,857;;2,786;0,857;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1
CLASS: ServiceToSkipService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0
CLASS: FeatureConfigLoaderService;0;3,25;35,897;0,046;5,687;1916,047;28,5;106,447;15,25;137,509;8,5;14,25;;6,75;14,25;;9,5;5,25;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1
CLASS: MenuManagerService;0;2,2;25,0;0,063;6,288;1427,216;41,3;79,29;20,7;188,596;12,6;19,4;;8,1;21,9;;10,9;7,4;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;1
CLASS: PuzzleAlgorithmManagerService;0;2,333;12,338;0,098;5,935;3239,493;56,0;179,972;22,667;292,514;15,333;25,333;;7,333;30,667;;22,0;9,667;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0
CLASS: VariableSettingsConfigService;0;3,25;34,031;0,084;6,88;2166,006;48,875;120,334;27,125;251,233;17,875;25,75;;9,25;23,125;;16,625;11,375;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0
CLASS: ZoomSettingsConfigService;0;1,467;33,868;0,032;3,741;556,062;23,067;30,892;14,2;96,341;8,8;12,0;;5,4;11,067;;7,533;4,667;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0
CLASS: TreeManagerService;0;1,0;100,0;0,007;1,5;33,688;8,0;1,872;7,0;22,459;4,0;4,0;;3,0;4,0;;6,0;1,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0
CLASS: AnnotationExtractorService;0;3,4;37,359;0,049;7,585;1647,036;34,2;91,502;13,8;147,003;7,2;17,4;;6,6;16,8;;11,0;6,8;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\designPatternsModels\decorator.ts;0
CLASS: ComponentFactoryService;0;2,5;13,333;0,067;5,042;2017,091;39,0;112,061;17,5;200,042;12,0;22,0;;5,5;17,0;;17,5;7,5;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0
CLASS: FabricMenuHelperService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.ts;0
CLASS: GameConfigurationComponent;0;4,0;31,167;0,468;11,801;37539,705;275,667;2085,539;23,667;1402,626;18,0;155,333;;5,667;120,333;;11,0;88,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config.ts;0
CLASS: MaterialModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.ts;0
