Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app-routing.module.ts;12,0;23,077;0,339;10,625;10813,914;169,0;600,773;65,0;1017,78;52,0;85,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",""layerOR4"",""toBack"",""./puzzle-builder/puzzle-builder.module"",""imageGallery"",routes,path,""changePuzzleOrdering"",""imageLoader"",""layerOR5"",""layerAND4"",InitialPageComponent,""zoomValue"",""showPositionOnBoard"",Routes,then,PuzzleBuilderComponent,""rotate"",""puzzleNavigation"",""multiplePuzzleSelect"",""moveableOnPuzzleBoard"",""reset"",""mainPage"",""puzzleDrawer"",layerOR7,layerOR4,""randomAngleRotation"",layerOR5,""zoom"",""mainNavigation"","""",AppRoutingModule,""layerOR7"",""zoomCoordinates"",""layerAND2"",""preview"",PuzzleBuilderModule,""layerAND6"",""boarderPicture"",loadChildren,layerAND3,m,layerAND2,""true"",layerAND4,layerAND6,component,""returnItem"",""toFront"",""layerAND3"",""puzzle""";13,0;84,0;&&,||,(),[],{},const,,,.,function=>,:,=,if,class;25,0;52,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app-routing.module.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app.module.ts;8,0;24,242;0,226;5,654;3841,212;123,0;213,401;46,0;679,398;39,0;63,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",AppModule,""layerOR4"",""toBack"",""imageGallery"",""changePuzzleOrdering"",""layerOR7"",""zoomCoordinates"",""layerAND2"",""imageLoader"",""preview"",""layerOR5"",""layerAND4"",""layerAND6"",""boarderPicture"",""zoomValue"",""showPositionOnBoard"",layerAND3,layerAND2,""rotate"",""puzzleNavigation"",""true"",""multiplePuzzleSelect"",layerAND4,layerAND6,""moveableOnPuzzleBoard"",""reset"",""mainPage"",""returnItem"",""toFront"",""puzzleDrawer"",""layerAND3"",layerOR7,layerOR4,""randomAngleRotation"",layerOR5,""zoom"",""mainNavigation""";7,0;60,0;&&,||,{},:,if,class,.;23,0;33,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\app.module.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.spec.ts;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;"TestBed,beforeEach,detectChanges,MainNavigationComponent,toBeTruthy,it,""should create"",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,describe,createComponent,compileComponents,""MainNavigationComponent""";8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.ts;21,0;26,25;0,706;15,626;33103,561;313,0;1839,087;109,0;2118,442;91,0;158,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",RoutingModel,componentPathInModule,""layerOR4"",""/puzzle"",loadingFromOtherModuleFix,""toBack"",""imageGallery"",RoutingModelMock,path,router,""changePuzzleOrdering"",""imageLoader"",""layerOR5"",""layerAND4"",checked,model,from,loadMenu,indexOf,Route,add,navigateByUrl,""zoomValue"",bottomSheetComponent,constructor,""showPositionOnBoard"",Routes,""rotate"",""puzzleNavigation"",getRoutingModelData,push,""multiplePuzzleSelect"",0,candidates,1,""moveableOnPuzzleBoard"",route,""zoom-content"",""reset"",""mainPage"",""puzzleDrawer"",layerOR7,layerOR4,""randomAngleRotation"",matched,layerOR5,""zoom"",""mainNavigation"",$event,MainNavigationComponent,document,remove,candidate,""component"",""layerOR7"",""zoomCoordinates"",""layerAND2"",""preview"",getMenu,routingModelData,""layerAND6"",zoomContents,""boarderPicture"",classList,forEach,""path"",length,componentRef,openBottomSheet,layerAND3,""hide-zoom-content"",layerAND2,url,""true"",layerAND4,filter,Array,layerAND6,bottomSheet,toggleZoom,zoomContentDiv,""returnItem"",""toFront"",""layerAND3"",""/puzzle/"",unshift,getElementsByClassName,config,open";18,0;155,0;&&,||,(),{},[],const,- (prefix),this,.,forof,else,function=>,:,if,class,=,===,return;59,0;80,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.spec.ts;5,0;25,0;0,086;6,222;1608,595;55,0;89,366;26,0;258,524;18,0;28,0;"TestBed,beforeEach,detectChanges,SmallMainMenuComponent,toBeTruthy,it,""should create"",declarations,fixture,expect,component,configureTestingModule,ComponentFixture,componentInstance,""SmallMainMenuComponent"",describe,createComponent,compileComponents";8,0;27,0;(),{},[],function=>,let,:,=,.;21,0;20,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.ts;14,0;29,787;0,37;8,839;9812,441;183,0;545,136;67,0;1110,094;56,0;90,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",""layerOR4"",""/puzzle"",loadingFromOtherModuleFix,""toBack"",""imageGallery"",router,""changePuzzleOrdering"",""imageLoader"",""layerOR5"",""layerAND4"",indexOf,navigateByUrl,""zoomValue"",constructor,""showPositionOnBoard"",""rotate"",""puzzleNavigation"",""multiplePuzzleSelect"",1,""moveableOnPuzzleBoard"",""reset"",""mainPage"",""puzzleDrawer"",layerOR7,layerOR4,""randomAngleRotation"",layerOR5,""zoom"",""mainNavigation"",PuzzleChooserBottomSheetComponent,TemplatePreviewBottomSheetComponent,SmallMainMenuComponent,openPuzzleChooserBottomSheet,openTemplatePreviewBottomSheet,""layerOR7"",""zoomCoordinates"",""layerAND2"",""preview"",""layerAND6"",""boarderPicture"",InsertTemplateImageBottomSheetComponent,layerAND3,layerAND2,url,""true"",layerAND4,layerAND6,bottomSheet,openInsertTemplateImageBottomSheet,""returnItem"",""toFront"",""layerAND3"",""/puzzle/"",open";11,0;93,0;&&,||,(),{},- (prefix),this,:,if,class,===,.;30,0;47,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.spec.ts;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;"expect,""should create an instance"",toBeTruthy,""DragAndDropDirective"",DragAndDropDirective,describe,it,directive";6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.ts;19,0;24,675;0,687;15,455;31856,043;307,0;1769,78;105,0;2061,273;88,0;160,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",""Error: null transfer!"",""layerOR4"",""toBack"",""drop"",""imageGallery"",router,""changePuzzleOrdering"",""imageLoader"",""layerOR5"",""layerAND4"",from,""under"",element,navigate,add,""dragleave"",FileList,""zoomValue"",constructor,HostBinding,""showPositionOnBoard"",HostListener,""rotate"",""dragover"",""puzzleNavigation"",""multiplePuzzleSelect"",0,""moveableOnPuzzleBoard"",""reset"",null,""mainPage"",""puzzleDrawer"",true,layerOR7,files,layerOR4,""randomAngleRotation"",layerOR5,""image-dragged"",""zoom"",""mainNavigation"",dataTransfer,log,document,DragAndDropDirective,onDragOver,onDragLeave,remove,fileDropped,""layerOR7"",""zoomCoordinates"",EventEmitter,""layerAND2"",""preview"",fileOver,Output,""layerAND6"",""$event"",event,""boarderPicture"",imageFileUnder,preventDefault,classList,apart,console,""class.fileover"",""drop-puzzle-block"",forEach,false,length,stopPropagation,layerAND3,layerAND2,""true"",layerAND4,Array,layerAND6,""returnItem"",""toFront"",onDrop,elements,""/puzzle/selectPuzzles"",""layerAND3"",getElementsByClassName,emit,imageFileApart";17,0;147,0;&&,||,(),new,!==,{},[],const,this,.,else,function=>,:,if,class,=,>;57,0;77,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.spec.ts;3,0;42,857;0,024;3,375;244,147;19,0;13,564;14,0;72,34;8,0;9,0;"expect,""should create an instance"",RemoveDirective,toBeTruthy,describe,it,""RemoveDirective"",directive";6,0;10,0;(),new,const,function=>,=,.;8,0;7,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.ts;10,0;27,027;0,267;7,2;5759,491;139,0;319,972;54,0;799,929;45,0;72,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",RemoveDirective,""layerOR4"",""toBack"",remove,""imageGallery"",""changePuzzleOrdering"",""layerOR7"",""zoomCoordinates"",""layerAND2"",""imageLoader"",""preview"",""layerOR5"",""layerAND4"",""layerAND6"",""click"",""boarderPicture"",element,""zoomValue"",constructor,""showPositionOnBoard"",layerAND3,layerAND2,""rotate"",""puzzleNavigation"",""true"",""multiplePuzzleSelect"",layerAND4,layerAND6,""moveableOnPuzzleBoard"",""reset"",""mainPage"",""returnItem"",""toFront"",""puzzleDrawer"",""layerAND3"",layerOR7,layerOR4,""randomAngleRotation"",layerOR5,""zoom"",""mainNavigation"",nativeElement,addEventListener";9,0;67,0;&&,||,(),{},function=>,:,if,class,.;12,0;37,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\directives\remove.directive.ts;1
