"Associated.with";"Cycl..Number";"Cycl..Density";"Halstead.Bugs";"Halstead.Difficulty";"Halstead.Effort";"Halstead.Length";"Halstead.Time";"Halstead.Vocabulary";"Halstead.Volume";"Halstead.Identifiers.Distinct";"Halstead.Identifiers.Total";"Halstead.Identifiers.Names";"Halstead.Identifiers.Distinct.1";"Halstead.Identifiers.Total.1";"Halstead.Identifiers.Names.1";"LOC.Physical";"LOC.Logical";"Associated.with.1";"Overall.file.decorastors.2"
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\dynamicInstantiation\component-factory.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,\"ComponentFactoryService\",configureTestingModule,ComponentFactoryService,service,toBeTruthy,describe,it,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\dynamicInstantiation\component-factory.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\game-configuration.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,\"GameConfigurationService\",configureTestingModule,service,GameConfigurationService,toBeTruthy,describe,it,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\game-configuration.service.ts";10
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\oldServices\old-puzzle.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,configureTestingModule,service,toBeTruthy,OldPuzzleService,describe,it,\"OldPuzzleService\",inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\oldServices\old-puzzle.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\bring-to-back.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",\"BringToBackService\",beforeEach,expect,configureTestingModule,service,toBeTruthy,BringToBackService,describe,it,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\bring-to-back.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\bring-to-front.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,BringToFrontService,\"BringToFrontService\",configureTestingModule,service,toBeTruthy,describe,it,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\bring-to-front.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\decoratorFabricMenuServices\bottom-left-fabric-menu.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,configureTestingModule,service,toBeTruthy,BottomLeftFabricMenuService,describe,it,\"BottomLeftFabricMenuService\",inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\decoratorFabricMenuServices\bottom-left-fabric-menu.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\decoratorFabricMenuServices\bottom-right-fabric-menu.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,\"BottomRightFabricMenuService\",configureTestingModule,service,toBeTruthy,describe,it,inject,BottomRightFabricMenuService";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\decoratorFabricMenuServices\bottom-right-fabric-menu.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\decoratorFabricMenuServices\puzzle-controller-manager2.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,configureTestingModule,service,toBeTruthy,\"PuzzleControllerManagerService\",describe,it,inject,PuzzleControllerManagerService2";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\decoratorFabricMenuServices\puzzle-controller-manager2.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\decoratorFabricMenuServices\top-left-fabric-menu.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,TopLeftFabricMenuService,configureTestingModule,service,toBeTruthy,describe,\"TopLeftFabricMenuService\",it,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\decoratorFabricMenuServices\top-left-fabric-menu.service.ts";1
"FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\services\puzzleControllers\decoratorFabricMenuServices\top-right-fabric-menu.service.spec.ts";"4,0";"33,333";"0,044";"4,0";"533,75";"32,0";"29,653";"18,0";"133,438";"12,0";"16,0";"TestBed,\"should be created\",beforeEach,expect,configureTestingModule,\"TopRightFabricMenuService\",service,toBeTruthy,describe,it,TopRightFabricMenuService,inject";"6,0";"16,0";"(),{},function=>,let,=,.";"13,0";"12,0";"FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\services\puzzleControllers\decoratorFabricMenuServices\top-right-fabric-menu.service.ts";1
