"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.999403989817112";"10";"0.0975125381781096";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.99995243621722";"3.50000121471923";"2.99997680552472"
"Cycl..Density";"0.968174612149249";"66";"0.003839800132425";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"5.51955602636143";"17.5540251584671";"12.1458089364721"
"Halstead.Bugs";"0.998030866302747";"353.5";"0.53244804194163";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.00102495391238764";"0.00747200585858774";"0.000458435744943756"
"Halstead.Difficulty";"0.993816550850157";"506";"1.22133151104344e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.571454897978323";"-0.324009338716327";"-0.470027608966676"
"Halstead.Effort";"0.997121859534496";"864";"0.0030782483675514";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-179.517043110154";"-26.3830146951352";"-71.8428177973004"
"Halstead.Length";"0.99751795104979";"87";"0.965092865078655";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-5.49994815634988";"7.00001110224467";"1.0000490299432"
"Halstead.Time";"0.997121859534496";"864";"0.0030782483675514";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-9.97350527736144";"-1.46604307973496";"-3.99163780277011"
"Halstead.Vocabulary";"0.998877973451127";"426";"0.114314782933259";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.44412348532306e-05";"0.999921013802364";"4.51441078389505e-05"
"Halstead.Volume";"0.998071969075166";"369";"0.577031903563498";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.23845873949587";"20.2584793320867";"1.07076602650269"
"Halstead.Identifiers.Distinct";"0.999151366897349";"1331";"1.38635442792536e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.999951354459257";"1.0000008380427";"0.999963708839387"
"Halstead.Identifiers.Total";"0.998741235558376";"2127.5";"2.4593153241108e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.999938541880593";"1.00002733349582";"1.00000703540102"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.992638728750155";"263";"6.91224370275273e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1";"-0.999909213280507";"-1"
"Halstead.Identifiers.Total.1";"0.997588059865591";"483";"7.5537081039066e-08";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.00006260700182";"-0.999981403366552";"-0.999960764332288"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.997562332339509";"0";"0.000143378522603355";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-10.0000328391314";"-2";"-5.0000403537072"
"LOC.Logical";"0.995102300344327";"0";"0.00325666597345654";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-11.0000152138424";"-1";"-5.50005345834424"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
