"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.998213285085126";"0";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-17.0000062093011";"-16.999966730214";"-17.000048781124"
"Cycl..Density";"-0.392847963069976";"0";"3.4928298419464e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-474.958450304674";"-265.765967361363";"-392.189999350822"
"Halstead.Bugs";"0.999008345845661";"0";"3.52761502130709e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0494778299379393";"-0.046957894828933";"-0.0475629076845401"
"Halstead.Difficulty";"0.990901655389058";"0";"3.63091977756067e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.02051999604467";"-2.97956570462367";"-3.31694021914553"
"Halstead.Effort";"0.995519590057709";"0";"3.63091977756067e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-6227.40947585361";"-3294.52351943858";"-3804.07097077532"
"Halstead.Length";"0.999457107931417";"0";"1.24673027376105e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-20.0000726933521";"-20";"-20"
"Halstead.Time";"0.995519590057709";"0";"3.63091977756067e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-345.967497412769";"-183.029522138491";"-211.337478668943"
"Halstead.Vocabulary";"0.995943028529203";"0";"2.7687235730027e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-8.00000106744995";"-6.99991651295363";"-7.50003836611843"
"Halstead.Volume";"0.998863611714317";"0";"3.63091977756067e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-147.845991723188";"-140.288512227329";"-142.855033736764"
"Halstead.Identifiers.Distinct";"0.99909408568026";"0";"5.57818676577637e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4";"-3.50005627264522";"-3.9999350475655"
"Halstead.Identifiers.Total";"0.99997104093364";"0";"1.24673027376105e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.00005946737038";"-4";"-4"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.922682021066333";"0";"2.31099199051162e-09";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.00003429718302";"-3.4999568321103";"-3.99997989877108"
"Halstead.Identifiers.Total.1";"0.989775615423716";"0";"1.24673027376105e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-16.0000577818953";"-16";"-16"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.940773790262606";"85.5";"4.36086245834333e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.00001538962822";"-1.99998177931212";"-2.49994397743669"
"LOC.Logical";"0.397079700492342";"1081";"2.17432358490565e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"22.9999556130452";"23.0000710717003";"23.0000269236486"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
