Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app-routing.module.ts;0;4,6;24,1;0,0029999999999999957;0,762;801,3110000000001;1,1999999999999993;44,516999999999996;1,0;10,879999999999995;0,0;-1,0;;0,0;2,200000000000001;;0,0;-6,199999999999999;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app.module.ts;0;23,0;827,451;0,019000000000000017;5,052;3182,806;6,0;176,82199999999997;6,0;55,84699999999998;0,0;-5,0;;0,0;11,0;;1,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.ts;0;2,091;5,225;0,001999999999999995;0,4139999999999999;893,0930000000003;0,5459999999999994;49,615999999999985;0,2729999999999997;4,789999999999992;0,0;-0,4540000000000006;;0,0;1,0;;0,5449999999999999;-2,819;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.ts;0;3,8339999999999996;27,614;0,0020000000000000018;0,5840000000000001;632,1779999999999;1,0;35,120999999999995;0,3330000000000002;7,2239999999999895;0,0;-0,8339999999999996;;0,0;1,8339999999999996;;0,5;-5,167;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.ts;0;2,556;6,658999999999999;0,001999999999999988;0,29200000000000004;640,1210000000001;0,6660000000000039;35,56200000000001;0,22299999999999898;5,35499999999999;0,0;-0,5549999999999997;;0,0;1,2220000000000013;;0,22299999999999986;-3,4449999999999994;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.ts;0;7,667;125,062;0,006000000000000005;1,31;1019,155;2,0;56,619000000000014;1,6669999999999998;17,49199999999999;0,0;-1,6659999999999968;;0,0;3,6670000000000016;;0,6669999999999998;-10,334;
