Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AppModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MainNavigationComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: SmallMainMenuComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DragAndDropDirective;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: RemoveDirective;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AppEffects;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorTypesService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ServiceToSkipService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FeatureConfigLoaderService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: MenuManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: PuzzleAlgorithmManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: VariableSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: TreeManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AnnotationExtractorService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ComponentFactoryService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: FabricMenuHelperService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: GameConfigurationComponent;0;136,0;677,612;-0,351;16,848999999999997;40121,696999999986;-138,0;2228,983;-10,0;-1052,3629999999994;7,0;-89,0;"ANTI-JIGSAW",indexOf,puzzleAlgorithmType,1,true,"JIGSAW2","JIGSAW";4,0;-49,0;==,- (prefix),,,>;9,0;-240,0;
CLASS: MaterialModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: RoutingModelMock;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: AppComponent;0;17,0;840,953;-0,049000000000000016;4,121;1862,5030000000002;-21,0;103,47200000000001;-8,0;-147,183;7,0;-12,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;6,0;-9,0;==,(),[],- (prefix),,,>;1,0;-32,0;
CLASS: DragAndDropImageComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomBlockComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: ZoomMenuComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
CLASS: GalleryBottomSheetComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
