Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app-routing.module.ts;0;5,8;26,364;0,06;2,857;2577,512;30,8;143,195;11,6;180,426;8,4;15,0;;3,2;15,8;;4,6;4,4;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app.module.ts;0;25,0;833,333;0,192;10,052;5777,412;108,0;320,967;40,0;574,768;29,0;53,0;;11,0;55,0;;23,0;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.ts;0;3,455;6,909;0,06;1,788;3540,525;27,091;196,696;9,091;179,988;7,182;13,455;;1,909;13,636;;5,545;4,545;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.ts;0;5,167;30,392;0,054;1,97;1930,156;28,0;107,231;9,5;163,321;7,333;13,333;;2,167;14,667;;5,5;2,833;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.ts;0;4,0;8,511;0,071;1,948;3737,139;32,444;207,619;10,556;213,155;8,556;16,667;;2,0;15,778;;6,556;5,222;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.spec.ts;0;1,0;14,286;0,008;1,125;81,382;6,333;4,521;4,667;24,113;2,667;3,0;;2,0;3,333;;2,667;2,333;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.ts;0;9,0;128,571;0,077;3,543;2440,21;41,333;135,567;15,667;229,59;11,667;20,667;;4,0;20,667;;4,667;2,333;
