Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
CLASS: AppRoutingModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: AppModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: MainNavigationComponent;0;1,182;2,515;0,035;1,246;1435,659;17,273;79,759;6,091;104,778;4,727;8,636;;1,364;8,636;;4,091;4,273;
CLASS: SmallMainMenuComponent;0;1,0;7,143;0,015;0,794;215,534;10,0;11,974;3,833;45,236;2,833;4,5;;1,0;5,5;;3,333;2,333;
CLASS: DragAndDropDirective;0;1,222;2,778;0,04;1,32;1440,161;20,444;80,009;6,778;121,251;5,444;10,778;;1,333;9,667;;5,667;4,889;
CLASS: RemoveDirective;0;0,667;16,667;0,006;0,75;38,039;5,333;2,113;3,0;16,906;2,0;3,0;;1,0;2,333;;2,333;1,333;
CLASS: AppEffects;0;0,75;6,818;0,009;0,813;84,702;6,25;4,706;4,5;26,062;3,0;3,25;;1,5;3,0;;1,0;2,75;
CLASS: DecoratorTypesService;0;0,933;4,667;0,007;0,442;145,073;5,067;8,06;1,333;21,898;1,067;3,533;;0,267;1,533;;1,933;1,333;
CLASS: ServiceToSkipService;0;0,5;50,0;0,0;0,0;0,0;0,5;0,0;0,5;0,0;0,5;0,5;;0,0;0,0;;1,5;0,5;
CLASS: FeatureConfigLoaderService;0;2,6;10,833;0,047;4,613;3276,371;24,8;182,021;10,6;142,052;6,2;13,0;;4,4;11,8;;7,2;4,8;
CLASS: MenuManagerService;0;2,0;2,5;0,075;4,091;10187,16;39,909;565,953;4,636;226,381;3,273;19,636;;1,364;20,273;;8,636;7,273;
CLASS: PuzzleAlgorithmManagerService;0;1,75;5,645;0,086;3,713;3842,877;44,75;213,493;13,75;258,716;10,25;21,75;;3,5;23,0;;10,25;7,75;
CLASS: VariableSettingsConfigService;0;2,889;3,009;0,093;3,726;9334,249;45,111;518,569;8,0;278,332;6,111;24,111;;1,889;21,0;;11,222;10,667;
CLASS: ZoomSettingsConfigService;0;1,375;1,786;0,048;1,403;3243,845;23,063;180,214;4,813;144,528;3,938;12,625;;0,875;10,438;;4,625;4,813;
CLASS: TreeManagerService;0;0,5;1,563;0,133;2,875;2300,483;78,0;127,805;17,5;400,084;15,0;34,5;;2,5;43,5;;10,5;16,0;
CLASS: AnnotationExtractorService;0;2,833;7,456;0,055;4,592;4514,782;29,667;250,821;7,667;163,866;4,833;15,667;;2,833;14,0;;8,667;6,333;
CLASS: ComponentFactoryService;0;1,667;9,804;0,053;4,231;2020,452;30,333;112,247;12,667;159,187;8,667;18,333;;4,0;12,0;;15,667;5,667;
CLASS: FabricMenuHelperService;0;0,5;50,0;0,0;0,0;0,0;0,5;0,0;0,5;0,0;0,5;0,5;;0,0;0,0;;1,5;0,5;
CLASS: GameConfigurationComponent;0;3,0;10,714;0,09;4,526;4871,058;46,75;270,614;13,5;269,041;9,5;21,5;;4,0;25,25;;9,75;7,0;
CLASS: MaterialModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: RoutingModelMock;0;0,5;25,0;0,002;0,5;5,805;2,5;0,322;2,5;5,805;1,5;1,5;;1,0;1,0;;2,5;1,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: AppComponent;0;1,0;50,0;0,004;0,5;12,0;4,0;0,667;4,0;12,0;3,0;3,0;;1,0;1,0;;3,5;1,0;
CLASS: DragAndDropImageComponent;0;1,583;2,554;0,043;1,781;2740,486;20,583;152,249;6,25;128,21;4,667;10,5;;1,583;10,083;;5,5;5,167;
CLASS: ZoomBlockComponent;0;0,667;33,333;0,001;0,0;0,0;1,0;0,0;1,0;1,585;1,0;1,0;;0,0;0,0;;1,667;0,667;
CLASS: ZoomMenuComponent;0;0,833;4,386;0,029;1,268;659,586;17,667;36,644;5,0;86,688;3,833;8,333;;1,167;9,333;;4,333;3,167;
CLASS: GalleryBottomSheetComponent;0;0,667;16,667;0,005;0,667;29,586;4,667;1,644;3,0;14,793;2,0;2,667;;1,0;2,0;;2,333;1,333;
CLASS: InsertTemplateImageBottomSheetComponent;0;0,667;16,667;0,005;0,667;29,586;4,667;1,644;3,0;14,793;2,0;2,667;;1,0;2,0;;2,333;1,333;
CLASS: PuzzleChooserBottomSheetComponent;0;0,667;16,667;0,005;0,667;29,586;4,667;1,644;3,0;14,793;2,0;2,667;;1,0;2,0;;2,333;1,333;
CLASS: TemplatePreviewBottomSheetComponent;0;0,667;16,667;0,005;0,667;29,586;4,667;1,644;3,0;14,793;2,0;2,667;;1,0;2,0;;2,333;1,333;
CLASS: ZoomManagementBottomSheetComponent;0;0,667;16,667;0,005;0,667;29,586;4,667;1,644;3,0;14,793;2,0;2,667;;1,0;2,0;;2,333;1,333;
CLASS: GalleryComponent;0;0,75;12,5;0,007;0,591;46,172;5,0;2,565;3,75;19,534;2,75;3,25;;1,0;1,75;;2,25;1,5;
CLASS: InitialPageComponent;0;0,833;7,576;0,009;0,486;74,764;5,667;4,154;3,833;25,634;3,0;3,5;;0,833;2,167;;2,167;1,833;
CLASS: InsertTemplateImageComponent;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: PuzzleBoardComponent;0;0,8;8,0;0,009;0,514;68,625;6,4;3,813;3,6;26,688;2,8;3,6;;0,8;2,8;;3,0;2,0;
CLASS: PuzzleBuilderComponent;0;0,5;50,0;0,0;0,0;0,0;0,5;0,0;0,5;0,0;0,5;0,5;;0,0;0,0;;1,5;0,5;
CLASS: PuzzleChooserComponent;0;0,8;7,273;0,013;0,619;125,121;8,6;6,951;5,2;40,424;4,2;5,2;;1,0;3,4;;2,6;2,2;
CLASS: TemplatePreviewComponent;0;1,0;12,5;0,012;1,867;202,38;8,667;11,243;6,0;36,139;3,333;4,667;;2,667;4,0;;3,667;2,667;
CLASS: SetZoomComponent;0;0,667;16,667;0,008;0,917;62,438;6,333;3,469;4,0;22,705;2,667;3,667;;1,333;2,667;;3,333;1,333;
CLASS: SetZoomPositionComponent;0;0,667;7,407;0,023;1,688;346,163;15,333;19,231;7,333;68,378;5,333;9,0;;2,0;6,333;;5,333;3,0;
CLASS: ZoomManagementComponent;0;1,44;1,412;0,041;0,83;2570,457;18,6;142,803;4,04;123,843;3,44;9,52;;0,6;9,08;;4,4;4,08;
CLASS: PuzzleBuilderRoutingModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: PuzzleBuilderModule;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: ComponentFactoryService;0;1,667;9,804;0,053;4,231;2020,452;30,333;112,247;12,667;159,187;8,667;18,333;;4,0;12,0;;15,667;5,667;
CLASS: GameConfigurationService;0;1,2;6,316;0,03;2,52;1146,6;18,2;63,7;6,4;91,0;4,0;8,4;;2,4;9,8;;4,2;3,8;
CLASS: OldPuzzleService;0;2,0;4,0;0,093;4,063;6823,439;46,833;379,08;10,5;279,936;8,0;26,0;;2,5;20,833;;10,333;8,333;
CLASS: BringToBackService;0;1,2;5,714;0,027;1,819;739,221;15,6;41,068;7,4;81,267;5,2;8,6;;2,2;7,0;;5,2;4,2;
CLASS: BringToFrontService;0;1,2;5,714;0,027;1,892;762,957;15,6;42,386;7,2;80,651;5,0;8,6;;2,2;7,0;;5,2;4,2;
CLASS: BottomLeftFabricMenuService;0;1,071;1,984;0,036;1,344;2037,721;17,786;113,207;4,857;108,27;3,786;9,5;;1,071;8,286;;4,286;3,857;
CLASS: BottomRightFabricMenuService;0;1,071;1,984;0,035;1,269;1887,246;17,571;104,847;4,714;106,209;3,714;9,429;;1,0;8,143;;4,286;3,857;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: PuzzleControllerManagerService2;0;1,364;1,623;0,088;2,153;6234,231;40,455;346,346;8,273;263,27;6,818;20,182;;1,455;20,273;;8,364;7,636;
CLASS: TopLeftFabricMenuService;0;1,071;1,984;0,037;1,445;2232,789;18,071;124,044;4,929;110,39;3,786;9,571;;1,143;8,5;;4,286;3,857;
CLASS: TopRightFabricMenuService;0;1,071;1,984;0,037;1,535;2370,992;18,0;131,722;5,0;110,327;3,786;9,571;;1,214;8,429;;4,286;3,857;
CLASS: DeletePuzzleServiceService;0;1,2;5,0;0,033;1,972;976,225;18,6;54,235;8,0;98,988;5,8;10,4;;2,2;8,2;;6,0;4,8;
CLASS: HelpPuzzleServiceService;0;1,2;5,0;0,036;2,127;1150,766;20,2;63,931;8,2;108,223;6,0;11,6;;2,2;8,6;;6,2;4,8;
CLASS: PuzzleController;0;0,0;0,0;0,001;0,0;0,0;3,0;0,0;2,0;3,0;2,0;3,0;;0,0;0,0;;3,0;0,0;
CLASS: PuzzleControllerManagerService;0;1,0;1,176;0,079;1,848;5269,523;36,167;292,751;7,917;237,61;6,583;18,25;;1,333;17,917;;7,583;7,083;
CLASS: ManipulationHandlerService;0;2,444;5,093;0,057;2,803;4320,177;29,111;240,01;6,556;171,25;4,889;16,444;;1,667;12,667;;7,0;5,333;
CLASS: ResizeHandlerService;0;1,8;3,051;0,07;2,185;4582,949;32,9;254,608;8,3;209,739;6,7;18,3;;1,6;14,6;;6,8;5,9;
CLASS: ZoomManagerService;0;1,071;1,847;0,038;1,705;2696,972;18,5;149,832;4,929;113,008;3,714;10,429;;1,214;8,071;;3,857;4,143;
CLASS: DrawAdjacentPointsService;0;3,75;2,82;0,269;11,167;72023,306;126,125;4001,295;10,5;806,231;7,875;67,0;;2,625;59,125;;19,5;16,625;
CLASS: ImageSizeManagerService;0;1,75;4,487;0,052;7,721;4849,965;34,25;269,442;6,0;157,035;3,25;18,25;;2,75;16,0;;9,25;9,75;
CLASS: ManageGraphicsService;0;1,6;1,379;0,079;2,099;9890,91;33,6;549,495;6,45;235,577;5,3;19,35;;1,15;14,25;;6,45;5,8;
CLASS: PuzzleManagerService;0;1,5;1,744;0,082;1,539;6055,04;36,25;336,391;6,875;245,824;5,938;19,5;;0,938;16,75;;6,5;5,375;
CLASS: DrawBordersService;0;2,5;1,344;0,197;6,424;53100,202;81,143;2950,011;11,071;590,406;8,714;47,5;;2,357;33,643;;14,071;13,286;
CLASS: PuzzleGeneratorQuadroService;0;2,471;1,188;0,171;4,28;37224,273;70,765;2068,015;8,824;511,545;7,235;39,0;;1,588;31,765;;13,353;12,235;
CLASS: DrawBordersService2;0;2,5;1,359;0,192;6,279;50760,233;79,357;2820,013;11,071;577,412;8,714;46,429;;2,357;32,929;;14,071;13,143;
CLASS: PuzzleGeneratorQuadroService2;0;2,471;1,188;0,171;4,28;37224,273;70,765;2068,015;8,824;511,545;7,235;39,0;;1,588;31,765;;13,353;12,235;
CLASS: ScanLineService;0;1,286;8,036;0,02;2,252;942,259;12,714;52,348;3,714;59,763;2,143;6,143;;1,571;6,571;;3,857;2,286;
CLASS: SetPuzzleAreaOnBoardService;0;1,067;1,592;0,066;1,942;5766,902;30,2;320,383;6,267;197,949;5,0;15,333;;1,267;14,867;;5,4;4,467;
CLASS: DisableControlsService;0;0,667;2,778;0,047;2,5;1066,004;31,0;59,222;8,0;142,134;6,333;19,0;;1,667;12,0;;10,0;8,0;
CLASS: RandomUtilsService;0;0,5;16,667;0,009;2,8;150,568;7,5;8,365;6,0;26,887;2,5;4,0;;3,5;3,5;;2,5;1,5;
CLASS: ShufflePuzzlesService;0;1,0;7,692;0,024;3,5;753,282;16,333;41,849;7,0;71,741;4,0;9,333;;3,0;7,0;;6,333;4,333;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
CLASS: DecoratorFileCopy;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;
