"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.992865299229299";"1953";"7.40855220909919e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2.21803062269351";"14.1079674082263";"5.23252839339907"
"Halstead.Bugs";"0.999446222003446";"0";"3.49349489416904e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0119710846447692";"-0.0100320188378505";"-0.010989067423101"
"Halstead.Difficulty";"0.991143395335201";"256";"1.58651894835863e-07";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.19096488244574";"-0.476004038467095";"-0.709346404131398"
"Halstead.Effort";"0.997784978875262";"268";"2.47500557214203e-07";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-553.931514069188";"-185.303486507442";"-300.7950146045"
"Halstead.Length";"0.998906057798847";"0";"2.0205074644185e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-5.00005444421381";"-4.99995622094745";"-5.00002960265745"
"Halstead.Time";"0.997784978875262";"268";"2.47500557214203e-07";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-30.7745294268185";"-10.2944809857494";"-16.7110489159089"
"Halstead.Vocabulary";"0.997557589831644";"14";"6.68443768279747e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.00006683987841";"-2.49996871993885";"-2.50004301177964"
"Halstead.Volume";"0.999425735263957";"0";"3.6041335847112e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-35.5760401304353";"-30.5039629137801";"-32.8159749161767"
"Halstead.Identifiers.Distinct";"0.999055538656322";"47";"4.28461143266113e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.49997342631168";"-1.00003536906391";"-1.00007293124586"
"Halstead.Identifiers.Total";"0.999863196439137";"0";"1.35999759316842e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1";"-1";"-1"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.983046336999729";"0";"2.28846176829604e-08";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.50006522728967";"-2.00001656072457";"-2.49992843635688"
"Halstead.Identifiers.Total.1";"0.998969149053384";"0";"2.0205074644185e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.00001181317718";"-3.99994132396253";"-4.00004397288233"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.997788658564908";"0";"5.14078086025914e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-7.99993505538868";"-1.99995278633484";"-3.00007803844277"
"LOC.Logical";"0.999677214850677";"0";"1.35999759316842e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1";"-1";"-1"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
