"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.999403989817112";"0";"0.0975125381781096";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.50000121471923";"-1.99995243621722";"-2.99999302008281"
"Cycl..Density";"0.972718222917605";"0";"0.003839800132425";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-16.4365155377083";"-5.51946220396864";"-11.6296554769766"
"Halstead.Bugs";"0.998256507960355";"68";"0.458764276488386";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0240249945150229";"0.00253635722479054";"-0.00698637869868224"
"Halstead.Difficulty";"0.994603702203419";"62";"0.507501253286605";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.76649162524674";"0.590958642530081";"-0.556521539217072"
"Halstead.Effort";"0.997135339366546";"64";"0.360423995448255";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-10826.2359518002";"218.670936887248";"-432.40703009858"
"Halstead.Length";"0.997900857033591";"73.5";"0.614724316006332";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-7.00006016776227";"1.9999632633695";"-1.99999920890414"
"Halstead.Time";"0.997135339366546";"64";"0.360423995448255";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-601.457965511932";"12.1489544038753";"-24.0225376935223"
"Halstead.Vocabulary";"0.999199505575513";"44";"0.120553076610009";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.49997289197628";"0.999912200244208";"-0.999932489034862"
"Halstead.Volume";"0.998290753047123";"69";"0.485924404659121";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-77.8629960327801";"7.74898872042895";"-20.261997338088"
"Halstead.Identifiers.Distinct";"0.999890493557503";"2";"0.0485829309233584";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.50000112740781";"-3.60456429514899e-05";"-1.50002063135989"
"Halstead.Identifiers.Total";"0.99914473191394";"0";"0.0220149344436729";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-24.000032250301";"-2.49996176539767";"-4.60077393076748"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.995031156120733";"31.5";"0.332423704864939";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.99997321914067";"1";"-0.500037218044725"
"Halstead.Identifiers.Total.1";"0.997622272845484";"77.5";"0.742561783161564";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.00000389066466";"1.99994618488472";"-0.500018617206125"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.999993152068589";"1.5";"1";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0";"0";"0"
"LOC.Logical";"0.995789308265985";"66";"0.00320930957021131";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"8.99998580593481";"4.99998083165329"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
