comparedName;correlation;statistics W;p.value;null.value;alternative;method;data.name;confidence.interval.start;confidence.interval.end;estimate;p > 0.05;0.05
Cycl..Number;0.503490607;1081;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];22.99995561;23.00007107;23.00002692;FALSE;
Cycl..Density;-0.894565817;1081;3.49E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];284.8025185;497.0105151;413.7180029;FALSE;
Halstead.Bugs;0.999522272;1081;3.34E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];0.03048891;0.031956527;0.030967237;FALSE;
Halstead.Difficulty;0.850667728;1081;3.63E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];4.376475785;5.668451517;4.755455058;FALSE;
Halstead.Effort;0.994904311;1081;3.63E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];3881.240454;7039.928969;4549.993016;FALSE;
Halstead.Length;0.99989142;1081;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];11;11.00005754;11.00009755;FALSE;
Halstead.Time;0.994904311;1081;3.63E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];215.6244958;391.1069445;252.7775294;FALSE;
Halstead.Vocabulary;0.995935725;1081;2.67E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];6.999951208;8.000032611;7.500022364;FALSE;
Halstead.Volume;0.999507803;1081;3.63E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];90.78751465;95.03693233;92.77758016;FALSE;
Halstead.Identifiers.Distinct;0.999615893;959;6.19E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];1.500028786;2;1.999931741;FALSE;
Halstead.Identifiers.Total;0.999717623;0;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-3.000017936;-2.999936508;-3.000049461;FALSE;
Halstead.Identifiers.Names;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
Halstead.Identifiers.Distinct.1;0.768531652;1081;2.30E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];5.499984276;6.000041953;5.999944996;FALSE;
Halstead.Identifiers.Total.1;0.990901103;1081;1.25E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];14;14.00009692;14;FALSE;
Halstead.Identifiers.Names.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
LOC.Physical;0.982251328;543;0.003317916;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];0.999984657;1.500030809;1.00001033;FALSE;
LOC.Logical;0.391197822;0;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-30.00000541;-29.99995161;-30.00002833;FALSE;
