Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\app-routing.module.ts;0;0,0;0,25900000000000034;-0,0010000000000000009;0,040999999999999925;-35,846000000000004;-1,0;-1,9909999999999997;-0,20000000000000018;-5,300000000000004;0,0;-0,20000000000000018;;0,0;-0,7999999999999998;;0,0;-0,20000000000000018;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\app.module.ts;0;0,0;33,333;-0,005999999999999999;-1,5;-59,5;-5,0;-3,306;-4,0;-19,0;0,0;-1,0;;0,0;-4,0;;0,0;-1,0;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\components\main-navigation\main-navigation.component.ts;0;0,0;0,05600000000000005;-0,0010000000000000009;0,010000000000000009;-32,471000000000004;-0,45500000000000185;-1,804000000000002;-0,09100000000000019;-3,1569999999999965;0,0;-0,09100000000000108;;0,0;-0,36400000000000077;;0,0;-0,08999999999999986;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\components\small-main-menu\small-main-menu.component.ts;0;0,0;0,4900000000000002;-0,0019999999999999983;-0,235;-109,25799999999998;-0,8330000000000002;-6,0699999999999985;-0,5;-5,728999999999999;0,0;-0,16699999999999982;;0,0;-0,6669999999999998;;0,0;-0,16600000000000037;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\directives\drag-and-drop.directive.ts;0;0,0;0,06700000000000017;-9,99999999999994E-4;-0,17300000000000004;-269,278;-0,5549999999999997;-14,959999999999994;-0,44399999999999995;-5,2250000000000085;0,0;-0,11100000000000065;;0,0;-0,44400000000000084;;0,0;-0,11100000000000065;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\directives\remove.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\testComplexity\variabilityConstructsComplexitySubmission\variabilityConstructsComplexitySubmission\canvasSPLforSPA\src\app\directives\remove.directive.ts;0;0,0;3,174000000000003;-0,002999999999999999;-0,41000000000000014;-70,754;-1,6660000000000004;-3,930999999999999;-1,0;-8,662999999999997;0,0;-0,3330000000000002;;0,0;-1,3330000000000002;;0,0;-0,3330000000000002;
