Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app-routing.module.ts;0;23,0;120,49700000000001;0,018000000000000016;3,8099999999999987;4006,554;6,0;222,586;5,0;54,39700000000005;7,0;-5,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;5,0;11,0;&&,==,||,- (prefix),>;0,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app.module.ts;0;23,0;827,451;0,019000000000000017;5,052;3182,806;6,0;176,82199999999997;6,0;55,84699999999998;7,0;-5,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;8,0;11,0;&&,==,||,(),[],- (prefix),,,>;1,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.ts;0;23,0;57,481;0,018000000000000016;4,559999999999999;9824,030999999999;6,0;545,779;3,0;52,69399999999996;5,0;-5,0;"ANTI-JIGSAW",puzzleAlgorithmType,true,"JIGSAW2","JIGSAW";5,0;11,0;&&,==,||,,,>;6,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.ts;0;23,0;165,686;0,015000000000000013;3,503;3793,0690000000004;6,0;210,726;2,0;43,346000000000004;5,0;-5,0;"ANTI-JIGSAW","JIGSAW2","JIGSAW",puzzleAlgorithmType,true;6,0;11,0;&&,==,||,[],,,>;3,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.ts;0;23,0;59,929;0,016000000000000014;2,628;5761,083999999999;6,0;320,05999999999995;2,0;48,19899999999984;6,0;-5,0;"ANTI-JIGSAW",indexOf,puzzleAlgorithmType,1,"JIGSAW2","JIGSAW";5,0;11,0;&&,==,||,- (prefix),,;2,0;-31,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.ts;0;23,0;375,188;0,018000000000000016;3,9289999999999994;3057,465;6,0;169,859;5,0;52,476;7,0;-5,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;7,0;11,0;&&,==,||,[],- (prefix),,,>;2,0;-31,0;
