Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app-routing.module.ts;0;17,0;108,74100000000001;-0,038000000000000034;3,6609999999999996;2073,6440000000002;-15,0;115,202;-7,0;-115,65099999999995;7,0;-10,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;3,0;-5,0;==,- (prefix),>;-2,0;-30,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\app.module.ts;0;17,0;809,091;-0,034;4,398;1936,2000000000003;-15,0;107,56599999999997;-6,0;-104,63;7,0;-10,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;6,0;-5,0;==,(),[],- (prefix),,,>;0,0;-30,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\main-navigation\main-navigation.component.ts;0;17,0;49,75;-0,04599999999999993;4,045;5842,218999999997;-15,0;324,567;-9,0;-138,5730000000001;5,0;-10,0;"ANTI-JIGSAW",puzzleAlgorithmType,true,"JIGSAW2","JIGSAW";3,0;-5,0;==,,,>;2,0;-30,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\components\small-main-menu\small-main-menu.component.ts;0;17,0;152,566;-0,04299999999999998;2,978999999999999;1768,4969999999994;-15,0;98,24900000000002;-10,0;-130,168;5,0;-10,0;"ANTI-JIGSAW","JIGSAW2","JIGSAW",puzzleAlgorithmType,true;4,0;-5,0;==,[],,,>;3,0;-30,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\drag-and-drop.directive.ts;0;17,0;51,92100000000001;-0,04800000000000004;2,077;1778,204999999998;-15,0;98,78899999999999;-10,0;-142,87500000000023;6,0;-10,0;"ANTI-JIGSAW",indexOf,puzzleAlgorithmType,1,"JIGSAW2","JIGSAW";3,0;-5,0;==,- (prefix),,;2,0;-30,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.spec.ts;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\directives\remove.directive.ts;0;17,0;358,687;-0,037000000000000005;3,4289999999999994;1561,1400000000003;-15,0;86,73000000000002;-7,0;-111,15999999999997;7,0;-10,0;"ANTI-JIGSAW",indexOf,"JIGSAW2","JIGSAW",puzzleAlgorithmType,1,true;5,0;-5,0;==,[],- (prefix),,,>;2,0;-30,0;
