comparedName;correlation;statistics W;p.value;null.value;alternative;method;data.name;confidence.interval.start;confidence.interval.end;estimate;p > 0.05;0.05
Cycl..Number;0.518934851;1081;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];5.999992954;6.000024791;6.000048228;FALSE;
Cycl..Density;0.656258467;1081;3.49E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];19.1295776;22.0759163;20.95104659;FALSE;
Halstead.Bugs;0.99983352;0;3.38E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-0.018005443;-0.016468158;-0.017049368;FALSE;
Halstead.Difficulty;0.871898434;1081;3.63E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];1.466055347;1.638028633;1.532983914;FALSE;
Halstead.Effort;0.999283424;906;6.66E-05;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];481.1635597;627.1519358;545.3725006;FALSE;
Halstead.Length;0.999717694;0;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-9.000032373;-8.999931191;-9.000041065;FALSE;
Halstead.Time;0.999283424;906;6.66E-05;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];26.73155136;34.84196528;30.29849845;FALSE;
Halstead.Vocabulary;0.999985511;0;0.148914673;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];NaN;NaN;-1;TRUE;
Halstead.Volume;0.999790094;0;3.61E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-54.54145398;-49.37550996;-51.29554945;FALSE;
Halstead.Identifiers.Distinct;0.999833319;0;1.24E-11;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];NaN;NaN;-2;FALSE;
Halstead.Identifiers.Total;0.999688661;0;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-7.000045529;-6.999936518;-7.000002449;FALSE;
Halstead.Identifiers.Names;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
Halstead.Identifiers.Distinct.1;0.936832678;1081;4.50E-11;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];2;2;2;FALSE;
Halstead.Identifiers.Total.1;0.999949168;0;1.25E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-2.000074881;-2;-2;FALSE;
Halstead.Identifiers.Names.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
LOC.Physical;0.942132249;79;4.34E-05;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-2.000039611;-1.499978863;-1.999937601;FALSE;
LOC.Logical;0.998853608;0;2.17E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-7.000045529;-6.999936518;-7.000002449;FALSE;
