comparedName;correlation;statistics W;p.value;null.value;alternative;method;data.name;confidence.interval.start;confidence.interval.end;estimate;p > 0.05;0.05
Associated.with;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
Cycl..Number;0.99940399;10;0.097512538;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];1.999952436;3.500001215;2.999976806;TRUE;
Cycl..Density;0.968174612;66;0.0038398;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];5.519556026;17.55402516;12.14580894;FALSE;
Halstead.Bugs;0.998030866;353.5;0.532448042;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-0.001024954;0.007472006;0.000458436;TRUE;
Halstead.Difficulty;0.993816551;506;1.22E-06;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-0.571454898;-0.324009339;-0.470027609;FALSE;
Halstead.Effort;0.99712186;864;0.003078248;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-179.5170431;-26.3830147;-71.8428178;FALSE;
Halstead.Length;0.997517951;87;0.965092865;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-5.499948156;7.000011102;1.00004903;TRUE;
Halstead.Time;0.99712186;864;0.003078248;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-9.973505277;-1.46604308;-3.991637803;FALSE;
Halstead.Vocabulary;0.998877973;426;0.114314783;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-4.44E-05;0.999921014;4.51E-05;TRUE;
Halstead.Volume;0.998071969;369;0.577031904;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-3.238458739;20.25847933;1.070766027;TRUE;
Halstead.Identifiers.Distinct;0.999151367;1331;1.39E-09;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];0.999951354;1.000000838;0.999963709;FALSE;
Halstead.Identifiers.Total;0.998741236;2127.5;2.46E-10;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];0.999938542;1.000027333;1.000007035;FALSE;
Halstead.Identifiers.Names;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
Halstead.Identifiers.Distinct.1;0.992638729;263;6.91E-05;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-1;-0.999909213;-1;FALSE;
Halstead.Identifiers.Total.1;0.99758806;483;7.55E-08;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-1.000062607;-0.999981403;-0.999960764;FALSE;
Halstead.Identifiers.Names.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
LOC.Physical;0.997562332;0;0.000143379;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-10.00003284;-2;-5.000040354;FALSE;
LOC.Logical;0.9951023;0;0.003256666;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];-11.00001521;-1;-5.500053458;FALSE;
Associated.with.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;FALSE;
Overall.file.decorastors.2;1;0;NaN;0;two.sided;Wilcoxon signed rank test with continuity correction;data1[[columnName]] and data2[[columnName]];NaN;NaN;NaN;TRUE;
